TAXON	F1M.1	F1M.2	F1M.3	F1T1.1	F1T1.2	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F2T2.3	F3M.1	F3M.2	F3M.3	F3T1.1	F3T1.2	F3T1.3	F3T2.1	F3T2.2	F3T2.3	F4M.1	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.2	F4T2.3	F5T1.1
Streptohalobacillus	0.0	0.0	0.0	0.0	0.0006146281499692685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shuttleworthia	0.00012706480304955527	0.0	0.0	0.0	0.0	2.4640859473178423e-05	0.0001936108422071636	0.0	0.0014464802314368371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015317063208414173	0.0	0.0	0.0	0.0	0.00032562683165092806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfitibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.252157516861267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oligotropha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.147451933385748e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1056877361380575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paraprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006738369832836603	0.0023121387283236987	0.0071641791044776085	0.0	0.0	0.00033003300330033004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006090133982947625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrio	0.0	0.0	0.0	0.0009353078721745908	0.002458512599877074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043512945101167606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gracilibacter	0.0	0.0	0.0	0.0006235385814497272	0.0	0.0	0.000580832526621491	0.0035769034236075633	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zymophilus	0.00012706480304955527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027731558513588466	0.0	0.0	0.0	3.3009836931405556e-05	0.00010165700925078785	0.0	0.0	5.1056877361380575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lacticigenium	0.0	0.0	0.0	0.0001558846453624318	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parvimonas	0.0007623888182973317	0.0	0.0	0.0009353078721745908	0.003073140749846343	0.0007885075031417095	0.0061310100032268494	0.006642820643842615	0.01639344262295081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008274720728175424	7.252157516861267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemmiger	0.0005082592121982211	0.0011117287381878821	0.0003551136363636364	0.0014029618082618861	0.0018438844499078055	0.0016755784441761328	0.006324620845434013	0.002043944813490036	0.0159112825458052	0.0003887521057405728	0.0	0.0	0.0007492240179813764	0.003118503118503119	0.0019801980198019802	0.00014294903866771496	0.0	0.00039032006245121	0.000653851183470642	0.00021043771043771043	0.00033009836931405554	0.00010165700925078785	0.0	0.00038491147036181676	0.0	0.0	0.0004137360364087712	0.0026832982812386693	0.0006090133982947625	0.0	0.0007540214477211797	0.0	0.0	0.0	0.0	0.0	0.0008295313148071339
Desulfonispora	0.0	0.0	0.0	0.0001558846453624318	0.0	9.856343789271369e-05	0.00012907389480477574	0.0	0.0009643201542912247	0.0003887521057405728	0.0	0.0	0.0	0.0003465003465003465	0.0	0.0	0.0	0.0	0.0	0.0	0.00039611804317686664	0.00010165700925078785	0.0	0.00019245573518090838	0.00010211375472276115	0.0	0.0	0.0	0.0	0.0	0.00025134048257372655	0.00023696682464454977	0.0	0.0	0.0	0.0	0.0
Prevotella	0.0	0.0005558643690939411	0.0	0.0	0.0	0.0	0.0	0.0	0.00048216007714561236	0.15239082545030483	0.26358381502890166	0.2397014925373114	0.0	0.0	0.0	0.00014294903866771496	0.0	0.0	0.000326925591735321	0.0	0.0	0.00010165700925078785	0.0	9.622786759045419e-05	0.16664964770754453	0.3599603567889129	0.023169218038891166	0.024802378707665617	0.2283800243605373	0.3480950830348485	0.002932305630026811	0.07535545023696723	0.0	0.0	0.0	0.0	0.0
Phocaeicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010165700925078785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000651748859439496	0.00538793103448276	0.0
Centipeda	0.00012706480304955527	0.0	0.0	0.0009353078721745908	0.0	0.0	0.0008389803162310426	0.000510986203372509	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	7.147451933385748e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003045066991473812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kiloniella	0.0	0.0	0.0	0.0001558846453624318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
