TAXON	F1M.1	F1M.2	F1T1.1	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F3M.1	F3M.2	F3T1.1	F3T1.2	F3T1.3	F3T2.2	F3T2.3	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.3	F5T2.1
PHAGE_Mycoba_SG4	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.291286912139993e-05	0.0	0.0009363295880149813
PHAGE_Burkho_Bcep43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	0.0	0.0015132408575031526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Lister_P40	0.0	0.0	0.0012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0005256702295426669	0.000245368666421298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030425963488843813	0.0
PHAGE_Lactob_johnsonii_prophage_Lj771	0.0	0.0	0.0012658227848101266	0.001098297638660077	0.001048767697954903	0.003500583430571762	0.0015128593040847202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.930843048616068e-05	0.0	0.0019880715705765406	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.003444316877152698	0.0	0.0007097232079489	0.0	0.0	0.0056179775280898875
PHAGE_Escher_vB_EcoM_FFH2	0.017531132873896748	0.0002964426877470356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Riemer_RAP44	0.00016120581953008503	4.940711462450593e-05	0.002531645569620253	0.0054914881933003845	0.0	0.0011668611435239206	0.0030257186081694403	0.0030473135525260625	0.005607149115121781	0.002085633664581033	0.0003427275842978039	0.0001120364491914703	0.0	0.01790668348045397	0.001506860179237053	0.0066844919786096255	0.019880715705765408	0.0002538715410002539	0.0002617801047120419	0.00027603612129815843	0.004246284501061571	0.00012371644191513053	0.000884016973125884	0.0002079434393844874	0.002296211251435132	0.004962779156327543	0.0021291696238466998	0.0012395187750637987	0.017241379310344827	0.003745318352059925
PHAGE_Lactob_phiadh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0007956152758132957	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Escher_121Q	0.00016120581953008503	0.0	0.0	0.0	0.0	0.002333722287047841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005044136191677175	7.930843048616068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00024743288383026105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bacill_phiAGATE	0.0	0.0	0.0	0.0	0.0	0.0011668611435239206	0.0	0.0	0.00017522340984755565	0.0	0.0	0.0	0.0	0.0007566204287515763	0.0	0.0	0.0019880715705765406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002296211251435132	0.0	0.0	0.0	0.0	0.0
PHAGE_Salmon_7_11	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001148105625717566	0.0	0.0	0.0	0.0	0.0
PHAGE_Vibrio_VP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Vibrio_VP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019880715705765406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Aeromo_phiO18P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007077140835102619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Lactob_PL_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048115477145148355	0.00017522340984755565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018726591760299626
PHAGE_Entero_HK106	0.0	0.0	0.0	0.0	0.0	0.0011668611435239206	0.0	0.0	0.0	0.000245368666421298	0.0	0.0	0.0	0.0	7.930843048616068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002652050919377652	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Burkho_KS5	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Staphy_prophage_phiPV83	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007566204287515763	7.930843048616068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007444168734491315	0.0	0.0	0.0	0.0
PHAGE_Propio_PHL071N05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.930843048616068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Parame_bursaria_Chlorella_virus_1	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0015128593040847202	0.0	0.0	0.000122684333210649	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018726591760299626
PHAGE_Shewan_3/49	0.0	0.0	0.0	0.0005491488193300384	0.0005243838489774515	0.0	0.0	0.00032076984763432237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007077140835102619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Staphy_phi_12	0.0	0.0	0.0	0.0005491488193300384	0.002097535395909806	0.0	0.0	0.00016038492381716118	0.0	0.000122684333210649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Lactoc_Tuc2009	0.0	0.0	0.0	0.002196595277320154	0.0	0.0011668611435239206	0.0	0.00016038492381716118	0.0	0.000245368666421298	0.0	0.0	0.0	0.005044136191677175	0.0003965421524308034	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0007097232079489	0.0	0.0	0.0028089887640449437
PHAGE_Mycoba_Inventum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009363295880149813
PHAGE_Mycoba_Chy5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.734548306382343e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Entero_lambda	0.0002015072744126063	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006188118811881188	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Staphy_phiSLT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001148105625717566	0.0	0.0	0.0	0.0	0.0
PHAGE_Synech_S_CBS3	4.030145488252126e-05	0.0	0.002531645569620253	0.0	0.0	0.0	0.0	0.0019246190858059342	0.0003504468196951113	0.000122684333210649	2.63636603306003e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0	0.0	0.0009363295880149813
PHAGE_Synech_S_CBS2	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Synech_S_CBS1	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Entero_mEp390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001039717196922437	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bordet_BIP_1	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0012395187750637987	0.0010141987829614604	0.0
PHAGE_Synech_S_CBS4	0.0	0.0	0.0	0.0	0.0005243838489774515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Pseudo_LKA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048115477145148355	0.0	0.000122684333210649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Lactob_Ld3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122684333210649	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
